ACSSF,2011e5,ma,000,0005,0000027,9853,9627,226,0,9,0,0,133,0,21,0,0,5,107,0,23,0,0,0,0,0,0,23,0,0,0,61,20,0,0,41,9853,9627,9337,103,13,19,0,0,155,0,155,226,195,9,0,0,0,16,6,5,1,9853,9627,226
ACSSF,2011e5,ma,000,0005,0000028,6177,6098,79,0,27,8,0,15,0,10,0,0,0,5,0,29,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,6177,6098,5683,304,0,48,0,14,49,0,49,79,62,2,0,0,0,15,0,0,0,6177,6098,79
ACSSF,2011e5,ma,000,0005,0000029,14392,14283,109,0,60,0,6,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,0,0,11,14392,14283,13447,495,41,49,0,9,242,31,211,109,70,8,12,0,0,12,7,7,0,14392,14283,109
ACSSF,2011e5,ma,000,0005,0000030,5011,4894,117,0,54,19,5,0,0,0,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,5011,4894,4781,24,16,66,0,0,7,0,7,117,117,0,0,0,0,0,0,0,0,5011,4894,117
ACSSF,2011e5,ma,000,0005,0000031,31674,31166,508,150,215,0,2,44,28,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,84,0,0,0,84,31674,31166,28478,834,69,910,0,217,658,125,533,508,314,13,0,0,0,25,156,22,134,31674,31166,508
ACSSF,2011e5,ma,000,0005,0000032,12259,11964,295,50,67,0,116,56,0,14,0,42,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12259,11964,11325,121,0,281,0,69,168,45,123,295,84,0,0,0,0,197,14,14,0,12259,11964,295
ACSSF,2011e5,ma,000,0005,0000033,13900,13825,75,7,32,13,14,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13900,13825,12902,195,184,50,0,211,283,21,262,75,35,0,0,0,0,24,16,16,0,13900,13825,75
ACSSF,2011e5,ma,000,0005,0000034,5946,5894,52,0,39,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5946,5894,5754,5,0,80,0,29,26,0,26,52,52,0,0,0,0,0,0,0,0,5946,5894,52
ACSSF,2011e5,ma,000,0005,0000035,2994,2891,103,0,76,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,2994,2891,2700,93,0,0,0,0,98,0,98,103,87,16,0,0,0,0,0,0,0,2994,2891,103
ACSSF,2011e5,ma,000,0005,0000036,20635,20244,391,78,39,0,0,78,0,0,0,0,0,78,0,161,0,0,0,47,0,0,54,0,60,0,35,8,1,0,26,20635,20244,19803,132,0,131,0,67,111,0,111,391,231,0,0,0,0,160,0,0,0,20635,20244,391
ACSSF,2011e5,ma,000,0005,0000037,1903,1892,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903,1892,1844,0,31,17,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,1903,1892,11
ACSSF,2011e5,ma,000,0005,0000038,2858,2856,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2858,2856,2774,0,0,0,0,16,66,2,64,2,0,2,0,0,0,0,0,0,0,2858,2856,2
ACSSF,2011e5,ma,000,0005,0000039,23919,23246,673,69,308,5,5,49,0,5,26,0,18,0,0,88,0,0,0,66,0,0,0,0,0,22,149,100,0,0,49,23919,23246,21993,541,42,143,0,31,496,47,449,673,546,12,15,0,0,94,6,6,0,23919,23246,673
ACSSF,2011e5,ma,000,0005,0000040,8494,8332,162,3,126,6,5,22,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8494,8332,8098,48,21,35,0,0,130,6,124,162,117,8,7,0,0,4,26,0,26,8494,8332,162
ACSSF,2011e5,ma,000,0005,0000041,501,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,501,491,2,0,3,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,501,501,0
ACSSF,2011e5,ma,000,0005,0000042,1775,1770,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1775,1770,1694,9,0,41,0,0,26,6,20,5,4,0,0,0,0,1,0,0,0,1775,1770,5
ACSSF,2011e5,ma,000,0005,0000043,3245,3233,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3245,3233,3182,12,0,0,0,9,30,0,30,12,12,0,0,0,0,0,0,0,0,3245,3233,12
ACSSF,2011e5,ma,000,0005,0000044,1844,1833,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844,1833,1828,0,5,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,1844,1833,11
ACSSF,2011e5,ma,000,0005,0000045,6753,6714,39,0,14,17,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6753,6714,6581,31,0,102,0,0,0,0,0,39,24,0,0,0,0,8,7,0,7,6753,6714,39
ACSSF,2011e5,ma,000,0005,0000046,1043,1027,16,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,1027,1001,3,4,0,0,0,19,7,12,16,16,0,0,0,0,0,0,0,0,1043,1027,16
ACSSF,2011e5,ma,000,0005,0000047,719,713,6,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,719,713,630,49,0,0,0,0,34,0,34,6,6,0,0,0,0,0,0,0,0,719,713,6
ACSSF,2011e5,ma,000,0005,0000048,7131,6450,681,256,99,0,0,56,0,43,0,0,13,0,0,270,0,0,74,18,71,0,107,0,0,0,0,0,0,0,0,7131,6450,5771,209,0,152,0,175,143,51,92,681,543,0,15,0,0,0,123,39,84,7131,6450,681
ACSSF,2011e5,ma,000,0005,0000049,713,707,6,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,713,707,697,3,0,1,0,0,6,0,6,6,5,1,0,0,0,0,0,0,0,713,707,6
ACSSF,2011e5,ma,000,0005,0000050,2136,2131,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,2136,2131,2087,9,15,9,0,0,11,0,11,5,0,0,0,0,0,0,5,5,0,2136,2131,5
ACSSF,2011e5,ma,000,0005,0000051,3074,3053,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3074,3053,2957,35,0,61,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,3074,3053,21
ACSSF,2011e5,ma,000,0005,0000052,5932,5837,95,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5932,5837,5721,6,0,109,0,0,1,0,1,95,28,0,0,0,0,67,0,0,0,5932,5837,95
ACSSF,2011e5,ma,000,0005,0000053,5013,4861,152,40,67,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,30,0,9,0,21,5013,4861,4602,70,7,122,0,0,60,0,60,152,148,0,0,0,0,4,0,0,0,5013,4861,152
ACSSF,2011e5,ma,000,0005,0000054,793,758,35,0,15,0,0,16,0,0,16,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,793,758,755,3,0,0,0,0,0,0,0,35,19,16,0,0,0,0,0,0,0,793,758,35
ACSSF,2011e5,ma,000,0005,0000055,150,147,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,150,147,143,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,150,147,3
ACSSF,2011e5,ma,000,0005,0000056,225,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225,223,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225,0
ACSSF,2011e5,ma,000,0005,0000057,1499,1469,30,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1499,1469,1435,11,0,5,0,0,18,1,17,30,10,0,0,0,0,20,0,0,0,1499,1469,30
ACSSF,2011e5,ma,000,0005,0000058,13763,13290,473,51,173,0,6,172,14,0,130,0,0,28,0,36,0,0,0,12,0,0,8,0,12,4,35,0,10,0,25,13763,13290,12337,443,88,46,52,0,324,31,293,473,299,17,0,0,0,102,55,44,11,13763,13290,473
ACSSF,2011e5,ma,000,0005,0000059,1248,1227,21,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,7,4,3,0,0,1248,1227,1164,5,0,37,0,11,10,0,10,21,7,0,0,0,0,0,14,4,10,1248,1227,21
ACSSF,2011e5,ma,000,0005,0000060,863,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,863,837,6,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,863,863,0
ACSSF,2011e5,ma,000,0005,0000061,44691,42391,2300,164,1336,49,62,191,0,29,79,0,0,83,0,354,0,0,42,25,190,0,97,0,0,0,144,33,64,0,47,44691,42391,38546,2361,55,447,21,32,929,11,918,2300,1587,26,11,0,0,293,383,168,215,44691,42391,2300
ACSSF,2011e5,ma,000,0005,0000062,1671,1649,22,3,4,11,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1671,1649,1629,0,11,6,0,0,3,0,3,22,18,0,0,0,0,4,0,0,0,1671,1649,22
ACSSF,2011e5,ma,000,0005,0000063,985,976,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,985,976,917,0,0,35,0,0,24,0,24,9,0,0,2,0,0,7,0,0,0,985,976,9
ACSSF,2011e5,ma,000,0005,0000064,706,702,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,702,694,1,0,0,0,0,7,7,0,4,4,0,0,0,0,0,0,0,0,706,702,4
ACSSF,2011e5,ma,000,0005,0000065,3255,3206,49,0,12,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,18,0,0,0,18,3255,3206,3059,4,0,96,0,15,32,0,32,49,31,0,0,0,0,18,0,0,0,3255,3206,49
ACSSF,2011e5,ma,000,0005,0000066,1755,1699,56,0,34,0,0,0,0,0,0,0,0,0,0,22,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,1755,1699,1620,65,0,14,0,0,0,0,0,56,37,0,0,0,0,19,0,0,0,1755,1699,56
ACSSF,2011e5,ma,000,0005,0000067,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,358,0
ACSSF,2011e5,ma,000,0005,0000068,583,580,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,583,580,564,0,0,0,0,0,16,0,16,3,2,0,0,0,0,0,1,1,0,583,580,3
ACSSF,2011e5,ma,000,0005,0000069,1573,1553,20,9,4,3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,1553,1481,17,0,0,0,0,55,0,55,20,20,0,0,0,0,0,0,0,0,1573,1553,20
ACSSF,2011e5,ma,000,0005,0000070,7828,7728,100,18,65,0,0,0,0,0,0,0,0,0,0,16,0,1,0,2,13,0,0,0,0,0,1,0,0,0,1,7828,7728,7206,81,59,287,0,0,95,0,95,100,69,0,0,0,0,31,0,0,0,7828,7728,100
ACSSF,2011e5,ma,000,0005,0000071,902,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902,902,893,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,902,902,0
ACSSF,2011e5,ma,000,0005,0000072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0005,0000073,10299,9939,360,137,203,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10299,9939,9585,13,24,47,0,82,188,37,151,360,210,0,0,0,0,150,0,0,0,10299,9939,360
ACSSF,2011e5,ma,000,0005,0000074,43459,40781,2678,263,883,21,179,870,0,439,0,0,59,372,0,247,0,134,0,46,53,0,0,0,14,0,215,36,15,0,164,43459,40781,36188,1474,37,2179,9,211,683,42,641,2678,1718,214,0,0,0,718,28,28,0,43459,40781,2678
ACSSF,2011e5,ma,000,0005,0000075,6336,6070,266,0,9,102,0,13,0,13,0,0,0,0,0,141,0,0,0,110,0,0,0,0,31,0,1,0,0,0,1,6336,6070,5935,40,0,10,0,15,70,42,28,266,265,1,0,0,0,0,0,0,0,6336,6070,266
ACSSF,2011e5,ma,000,0005,0000076,33759,33127,632,135,362,0,0,72,0,26,26,0,0,20,0,15,0,0,0,15,0,0,0,0,0,0,48,14,13,0,21,33759,33127,31147,437,0,763,10,89,681,174,507,632,502,54,0,26,0,15,35,15,20,33759,33127,632
ACSSF,2011e5,ma,000,0005,0000077,7003,6726,277,107,18,0,0,0,0,0,0,0,0,0,0,88,0,0,0,73,0,0,15,0,0,0,64,0,0,0,64,7003,6726,6678,0,0,9,0,0,39,0,39,277,267,0,10,0,0,0,0,0,0,7003,6726,277
ACSSF,2011e5,ma,000,0005,0000078,23061,22129,932,110,320,0,48,7,0,0,0,0,0,7,0,259,14,0,0,171,25,0,40,0,9,0,188,0,14,0,174,23061,22129,20782,725,0,427,0,89,106,47,59,932,564,15,0,0,0,160,193,56,137,23061,22129,932
