ACSSF,2011e5,ma,000,0012,0000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0012,0000025,8281,2047,1400,1387,13,1035,169,169,0,196,196,0,647,647,0,526,121,121,0,6234,4442,4306,136,3527,304,187,117,611,611,0,1792,1766,26,1738,54,54,0,8281,870,212,114,10,88,658,658,0,1075,545,282,161,102,530,422,108,6336,5085,4166,302,617,1251,1184,67,45486,41088,4398
ACSSF,2011e5,ma,000,0012,0000026,3613,1206,901,901,0,838,24,24,0,39,39,0,305,305,0,305,0,0,0,2407,1992,1982,10,1833,10,10,0,149,149,0,415,415,0,400,15,15,0,3613,335,61,0,0,61,274,260,14,589,431,431,0,0,158,158,0,2689,2401,2240,34,127,288,287,1,19632,18913,719
ACSSF,2011e5,ma,000,0012,0000027,1588,420,300,300,0,260,26,26,0,14,14,0,120,120,0,120,0,0,0,1168,656,633,23,528,15,0,15,113,105,8,512,512,0,512,0,0,0,1588,390,104,17,0,87,286,286,0,136,51,20,31,0,85,85,0,1062,801,751,10,40,261,261,0,9853,9362,491
ACSSF,2011e5,ma,000,0012,0000028,702,134,64,64,0,64,0,0,0,0,0,0,70,70,0,70,0,0,0,568,425,425,0,389,0,0,0,36,36,0,143,143,0,143,0,0,0,702,62,51,51,0,0,11,11,0,154,11,11,0,0,143,143,0,486,427,391,0,36,59,59,0,6177,5918,259
ACSSF,2011e5,ma,000,0012,0000029,2372,602,345,333,12,253,51,51,0,41,41,0,257,257,0,246,11,11,0,1770,1075,1075,0,1054,0,0,0,21,21,0,695,684,11,444,251,240,11,2372,774,120,87,33,0,654,392,262,389,276,258,18,0,113,113,0,1209,1024,962,0,62,185,185,0,14392,13796,596
ACSSF,2011e5,ma,000,0012,0000030,448,83,35,35,0,35,0,0,0,0,0,0,48,48,0,48,0,0,0,365,261,261,0,261,0,0,0,0,0,0,104,104,0,104,0,0,0,448,47,0,0,0,0,47,47,0,14,0,0,0,0,14,14,0,387,296,296,0,0,91,91,0,5011,4757,254
ACSSF,2011e5,ma,000,0012,0000031,5237,1677,1343,1299,44,1028,155,111,44,160,160,0,334,313,21,316,18,18,0,3560,2242,2124,118,1878,161,71,90,203,197,6,1318,1290,28,1260,58,41,17,5237,410,128,69,59,0,282,249,33,685,216,153,63,0,469,451,18,4142,3241,2684,194,363,901,876,25,31674,29362,2312
ACSSF,2011e5,ma,000,0012,0000032,2046,926,729,729,0,681,25,25,0,23,23,0,197,183,14,141,56,56,0,1120,724,702,22,687,27,5,22,10,10,0,396,380,16,244,152,136,16,2046,250,12,12,0,0,238,123,115,342,181,181,0,0,161,86,75,1454,1260,1175,52,33,194,176,18,12259,11441,818
ACSSF,2011e5,ma,000,0012,0000033,2770,1009,816,816,0,587,70,70,0,159,159,0,193,193,0,193,0,0,0,1761,1190,1190,0,1086,77,77,0,27,27,0,571,571,0,567,4,4,0,2770,202,37,0,37,0,165,165,0,552,316,236,80,0,236,236,0,2016,1653,1437,30,186,363,359,4,13900,13108,792
ACSSF,2011e5,ma,000,0012,0000034,573,215,115,115,0,84,31,31,0,0,0,0,100,100,0,100,0,0,0,358,191,191,0,147,19,19,0,25,25,0,167,167,0,167,0,0,0,573,100,0,0,0,0,100,100,0,124,17,17,0,0,107,107,0,349,289,214,50,25,60,60,0,5946,5737,209
ACSSF,2011e5,ma,000,0012,0000035,88,11,11,11,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,77,25,25,0,25,0,0,0,0,0,0,52,52,0,52,0,0,0,88,0,0,0,0,0,0,0,0,23,11,0,0,11,12,12,0,65,25,25,0,0,40,40,0,2994,2834,160
ACSSF,2011e5,ma,000,0012,0000036,4941,1209,1134,1134,0,1071,35,35,0,28,28,0,75,75,0,75,0,0,0,3732,2892,2860,32,2782,47,47,0,63,63,0,840,840,0,832,8,8,0,4941,150,26,26,0,0,124,124,0,430,158,158,0,0,272,264,8,4361,3842,3669,82,91,519,519,0,20635,19845,790
ACSSF,2011e5,ma,000,0012,0000037,231,33,33,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,198,188,188,0,184,0,0,0,4,4,0,10,10,0,10,0,0,0,231,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,185,175,171,0,4,10,10,0,1903,1815,88
ACSSF,2011e5,ma,000,0012,0000038,232,49,11,11,0,11,0,0,0,0,0,0,38,38,0,38,0,0,0,183,83,83,0,83,0,0,0,0,0,0,100,100,0,85,15,15,0,232,76,0,0,0,0,76,76,0,22,22,22,0,0,0,0,0,134,72,72,0,0,62,47,15,2858,2807,51
ACSSF,2011e5,ma,000,0012,0000039,3374,1096,831,818,13,630,67,67,0,134,134,0,265,265,0,246,19,19,0,2278,1346,1296,50,1035,68,57,11,243,243,0,932,932,0,932,0,0,0,3374,415,22,0,22,0,393,374,19,596,196,44,9,143,400,400,0,2363,1959,1621,104,234,404,404,0,23919,21676,2243
ACSSF,2011e5,ma,000,0012,0000040,1834,444,175,175,0,175,0,0,0,0,0,0,269,269,0,269,0,0,0,1390,773,773,0,773,0,0,0,0,0,0,617,617,0,586,31,31,0,1834,262,24,24,0,0,238,211,27,471,98,98,0,0,373,369,4,1101,826,826,0,0,275,275,0,8494,8319,175
ACSSF,2011e5,ma,000,0012,0000041,68,7,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,61,58,56,2,56,2,0,2,0,0,0,3,3,0,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,65,63,2,0,3,3,0,501,463,38
ACSSF,2011e5,ma,000,0012,0000042,245,43,26,26,0,17,9,9,0,0,0,0,17,17,0,17,0,0,0,202,192,177,15,173,15,0,15,4,4,0,10,8,2,8,2,0,2,245,25,17,8,9,0,8,8,0,64,49,49,0,0,15,15,0,156,152,133,15,4,4,2,2,1775,1671,104
ACSSF,2011e5,ma,000,0012,0000043,614,126,91,91,0,91,0,0,0,0,0,0,35,35,0,35,0,0,0,488,449,449,0,449,0,0,0,0,0,0,39,39,0,39,0,0,0,614,191,147,147,0,0,44,44,0,21,21,21,0,0,0,0,0,402,372,372,0,0,30,30,0,3245,3222,23
ACSSF,2011e5,ma,000,0012,0000044,395,99,74,74,0,69,0,0,0,5,5,0,25,25,0,25,0,0,0,296,285,285,0,281,0,0,0,4,4,0,11,11,0,11,0,0,0,395,0,0,0,0,0,0,0,0,136,120,120,0,0,16,16,0,259,239,230,0,9,20,20,0,1844,1808,36
ACSSF,2011e5,ma,000,0012,0000045,1389,360,266,257,9,266,0,0,0,0,0,0,94,94,0,94,0,0,0,1029,716,707,9,673,43,43,0,0,0,0,313,305,8,313,0,0,0,1389,160,91,91,0,0,69,69,0,332,195,195,0,0,137,137,0,897,696,653,43,0,201,201,0,6753,6554,199
