ACSSF,2011e5,ma,000,0042,0000066,0,0,0,0,0,0,0,1564,330,81,110,58,81,1234,56,9,0,9,0,0,47
ACSSF,2011e5,ma,000,0042,0000067,0,0,0,0,0,0,0,357,60,1,20,14,25,297,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000068,17,5,0,0,5,0,12,550,102,15,15,31,41,448,3,1,0,0,1,0,2
ACSSF,2011e5,ma,000,0042,0000069,55,15,0,12,3,0,40,1455,319,12,119,110,78,1136,20,2,0,2,0,0,18
ACSSF,2011e5,ma,000,0042,0000070,95,81,39,10,21,11,14,7041,2245,184,612,283,1166,4796,100,52,0,2,0,50,48
ACSSF,2011e5,ma,000,0042,0000071,9,7,5,2,0,0,2,883,226,7,96,71,52,657,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000073,154,76,42,0,0,34,78,9443,1994,129,1067,426,372,7449,323,215,0,84,131,0,108
ACSSF,2011e5,ma,000,0042,0000074,697,385,59,148,54,124,312,34780,7719,913,3071,2023,1712,27061,2477,828,181,393,161,93,1649
ACSSF,2011e5,ma,000,0042,0000075,70,45,0,17,19,9,25,5794,1865,169,907,392,397,3929,219,78,34,13,15,16,141
ACSSF,2011e5,ma,000,0042,0000076,716,460,39,121,116,184,256,30466,7870,792,2618,1685,2775,22596,621,309,10,72,65,162,312
ACSSF,2011e5,ma,000,0042,0000077,39,0,0,0,0,0,39,6531,1738,214,665,401,458,4793,262,66,0,66,0,0,196
ACSSF,2011e5,ma,000,0042,0000078,244,68,27,0,15,26,176,20262,6572,680,2045,1088,2759,13690,855,355,19,58,71,207,500
ACSSF,2011e5,ma,000,0042,0000079,203,64,0,30,0,34,139,14852,3176,426,1011,876,863,11676,156,53,0,26,27,0,103
ACSSF,2011e5,ma,000,0042,0000080,1902,681,113,347,158,63,1221,73422,15172,1296,6068,3955,3853,58250,5568,2189,412,1031,435,311,3379
ACSSF,2011e5,ma,000,0042,0000081,80,52,9,18,25,0,28,8312,1994,197,811,454,532,6318,85,12,0,0,12,0,73
ACSSF,2011e5,ma,000,0042,0000082,267,154,12,118,24,0,113,19522,5937,1024,2595,1362,956,13585,627,296,38,93,111,54,331
ACSSF,2011e5,ma,000,0042,0000083,3377,1429,320,529,412,168,1948,63994,13633,1711,5147,3005,3770,50361,13427,4941,844,2402,1140,555,8486
ACSSF,2011e5,ma,000,0042,0000084,203,65,0,21,21,23,138,25542,7468,1159,2963,1637,1709,18074,441,130,7,14,51,58,311
ACSSF,2011e5,ma,000,0042,0000085,281,168,25,94,9,40,113,17027,5840,406,1808,1062,2564,11187,144,76,0,11,0,65,68
ACSSF,2011e5,ma,000,0042,0000086,289,167,10,121,7,29,122,11657,3060,430,1337,651,642,8597,249,66,13,41,11,1,183
ACSSF,2011e5,ma,000,0042,0000087,91,19,0,6,5,8,72,10904,2834,410,1113,634,677,8070,110,27,0,17,10,0,83
ACSSF,2011e5,ma,000,0042,0000088,47,14,0,0,0,14,33,12612,3272,254,1405,775,838,9340,294,161,0,62,57,42,133
ACSSF,2011e5,ma,000,0042,0000089,360,80,0,58,22,0,280,16912,3816,442,1471,930,973,13096,214,122,0,78,44,0,92
ACSSF,2011e5,ma,000,0042,0000090,288,147,0,76,47,24,141,15056,3296,388,1224,804,880,11760,132,69,0,56,10,3,63
ACSSF,2011e5,ma,000,0042,0000091,1129,482,48,263,109,62,647,45893,9956,1372,4316,2079,2189,35937,3498,1452,408,671,316,57,2046
ACSSF,2011e5,ma,000,0042,0000092,138,98,0,84,0,14,40,14550,3288,326,1408,627,927,11262,21,8,0,4,4,0,13
ACSSF,2011e5,ma,000,0042,0000093,51,39,0,14,25,0,12,151,9,0,5,2,2,142,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000094,12,12,0,12,0,0,0,698,144,15,92,27,10,554,20,0,0,0,0,0,20
ACSSF,2011e5,ma,000,0042,0000095,105,88,0,44,44,0,17,3860,768,136,152,281,199,3092,3,0,0,0,0,0,3
ACSSF,2011e5,ma,000,0042,0000096,0,0,0,0,0,0,0,178,7,0,3,0,4,171,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000097,254,231,116,115,0,0,23,3418,826,0,478,189,159,2592,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000098,46,37,0,0,37,0,9,3611,650,128,334,142,46,2961,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000099,6,0,0,0,0,0,6,2250,515,155,170,103,87,1735,48,0,0,0,0,0,48
ACSSF,2011e5,ma,000,0042,0000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000101,251,41,0,41,0,0,210,14816,3182,467,1394,814,507,11634,306,152,59,36,50,7,154
ACSSF,2011e5,ma,000,0042,0000102,459,329,13,210,56,50,130,26856,8441,944,3479,2037,1981,18415,1360,569,149,182,113,125,791
ACSSF,2011e5,ma,000,0042,0000103,530,269,84,110,18,57,261,34937,8943,1020,2631,1600,3692,25994,1188,544,118,174,50,202,644
ACSSF,2011e5,ma,000,0042,0000104,80,68,24,44,0,0,12,7580,2325,318,1161,559,287,5255,46,33,0,0,33,0,13
ACSSF,2011e5,ma,000,0042,0000105,97,36,0,36,0,0,61,24268,5738,756,2344,1187,1451,18530,508,214,16,116,65,17,294
ACSSF,2011e5,ma,000,0042,0000106,24,8,0,0,8,0,16,3363,753,42,364,229,118,2610,42,30,22,0,8,0,12
ACSSF,2011e5,ma,000,0042,0000107,40,24,0,24,0,0,16,7635,2242,401,953,505,383,5393,93,22,0,22,0,0,71
ACSSF,2011e5,ma,000,0042,0000108,391,124,20,34,22,48,267,26955,5872,788,2644,1255,1185,21083,649,289,16,84,42,147,360
ACSSF,2011e5,ma,000,0042,0000109,0,0,0,0,0,0,0,6058,1600,160,860,333,247,4458,73,37,0,0,37,0,36
ACSSF,2011e5,ma,000,0042,0000110,81,52,0,43,0,9,29,6520,2391,425,767,424,775,4129,221,46,16,21,0,9,175
ACSSF,2011e5,ma,000,0042,0000111,972,421,86,207,90,38,551,46271,10483,1732,3813,1959,2979,35788,7798,3050,301,1694,592,463,4748
ACSSF,2011e5,ma,000,0042,0000112,62,14,0,14,0,0,48,12530,3203,346,1341,723,793,9327,95,25,0,0,19,6,70
ACSSF,2011e5,ma,000,0042,0000113,2557,787,118,503,76,90,1770,15797,2333,188,847,517,781,13464,52187,17884,2047,7872,4606,3359,34303
ACSSF,2011e5,ma,000,0042,0000114,3709,1397,110,651,290,346,2312,43780,8832,823,3079,2251,2679,34948,25480,8422,930,4055,1980,1457,17058
ACSSF,2011e5,ma,000,0042,0000115,134,101,8,32,22,39,33,10420,3029,311,1276,845,597,7391,304,173,0,61,58,54,131
ACSSF,2011e5,ma,000,0042,0000116,53,40,19,21,0,0,13,4860,1352,84,649,326,293,3508,72,40,19,21,0,0,32
ACSSF,2011e5,ma,000,0042,0000117,133,68,0,21,31,16,65,18410,5059,964,2076,1072,947,13351,286,120,0,82,30,8,166
ACSSF,2011e5,ma,000,0042,0000118,7,7,0,0,7,0,0,6112,1701,142,887,385,287,4411,63,14,0,0,14,0,49
ACSSF,2011e5,ma,000,0042,0000119,956,453,46,163,177,67,503,34215,8098,1037,3270,1617,2174,26117,7759,3046,407,1357,776,506,4713
ACSSF,2011e5,ma,000,0042,0000120,64,42,39,0,0,3,22,7368,1781,194,927,402,258,5587,635,49,0,38,11,0,586
ACSSF,2011e5,ma,000,0042,0000121,0,0,0,0,0,0,0,3145,685,36,269,162,218,2460,132,66,0,57,0,9,66
ACSSF,2011e5,ma,000,0042,0000122,28,0,0,0,0,0,28,6234,1718,258,624,420,416,4516,14,0,0,0,0,0,14
ACSSF,2011e5,ma,000,0042,0000123,254,138,35,60,43,0,116,15877,3326,614,1238,603,871,12551,489,250,35,92,45,78,239
ACSSF,2011e5,ma,000,0042,0000124,311,188,58,90,0,40,123,24322,7823,825,3277,1331,2390,16499,773,232,39,70,38,85,541
ACSSF,2011e5,ma,000,0042,0000125,434,249,55,127,40,27,185,43487,9062,1208,3344,2224,2286,34425,2779,942,70,479,217,176,1837
ACSSF,2011e5,ma,000,0042,0000126,13,0,0,0,0,0,13,6693,1383,79,581,307,416,5310,59,32,13,0,19,0,27
ACSSF,2011e5,ma,000,0042,0000127,0,0,0,0,0,0,0,5604,1602,214,624,433,331,4002,49,0,0,0,0,0,49
ACSSF,2011e5,ma,000,0042,0000128,1135,473,59,153,122,139,662,30150,6903,778,1668,1028,3429,23247,5789,2145,262,854,477,552,3644
ACSSF,2011e5,ma,000,0042,0000129,54,0,0,0,0,0,54,7852,1665,185,803,359,318,6187,99,75,0,16,37,22,24
ACSSF,2011e5,ma,000,0042,0000130,291,154,76,11,67,0,137,23008,5035,640,2064,1173,1158,17973,1231,354,13,190,112,39,877
ACSSF,2011e5,ma,000,0042,0000131,78,66,18,34,0,14,12,12433,3425,245,1465,770,945,9008,484,182,38,128,16,0,302
ACSSF,2011e5,ma,000,0042,0000132,18,0,0,0,0,0,18,5750,1921,332,968,291,330,3829,28,28,0,0,12,16,0
ACSSF,2011e5,ma,000,0042,0000133,77,73,8,9,0,56,4,4436,2070,111,443,334,1182,2366,39,39,0,0,0,39,0
ACSSF,2011e5,ma,000,0042,0000134,0,0,0,0,0,0,0,3881,1217,138,492,241,346,2664,266,157,56,12,89,0,109
ACSSF,2011e5,ma,000,0042,0000135,55,17,0,2,15,0,38,1627,342,42,172,85,43,1285,30,13,0,3,10,0,17
ACSSF,2011e5,ma,000,0042,0000136,15,0,0,0,0,0,15,2114,486,46,181,138,121,1628,18,10,0,10,0,0,8
ACSSF,2011e5,ma,000,0042,0000137,0,0,0,0,0,0,0,2212,557,95,241,97,124,1655,13,10,0,10,0,0,3
ACSSF,2011e5,ma,000,0042,0000138,18,6,0,0,6,0,12,1035,176,23,88,41,24,859,19,8,0,2,6,0,11
ACSSF,2011e5,ma,000,0042,0000139,48,23,5,9,0,9,25,1553,358,42,163,73,80,1195,24,7,0,7,0,0,17
ACSSF,2011e5,ma,000,0042,0000140,47,24,0,6,4,14,23,1670,384,54,165,82,83,1286,12,0,0,0,0,0,12
ACSSF,2011e5,ma,000,0042,0000141,52,11,0,0,11,0,41,4743,1155,143,460,183,369,3588,82,30,0,23,0,7,52
ACSSF,2011e5,ma,000,0042,0000142,58,36,7,29,0,0,22,1577,397,57,172,97,71,1180,45,15,0,9,1,5,30
ACSSF,2011e5,ma,000,0042,0000143,20,1,0,1,0,0,19,1293,248,32,91,61,64,1045,82,6,0,6,0,0,76
ACSSF,2011e5,ma,000,0042,0000144,379,191,67,74,37,13,188,15435,3137,261,1178,944,754,12298,701,202,42,85,60,15,499
ACSSF,2011e5,ma,000,0042,0000145,0,0,0,0,0,0,0,376,58,0,21,23,14,318,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000146,0,0,0,0,0,0,0,468,69,15,34,7,13,399,3,0,0,0,0,0,3
ACSSF,2011e5,ma,000,0042,0000147,38,25,3,17,3,2,13,1606,397,42,152,79,124,1209,35,23,6,0,17,0,12
ACSSF,2011e5,ma,000,0042,0000148,0,0,0,0,0,0,0,622,156,4,69,21,62,466,3,0,0,0,0,0,3
ACSSF,2011e5,ma,000,0042,0000149,0,0,0,0,0,0,0,120,14,2,3,0,9,106,0,0,0,0,0,0,0
ACSSF,2011e5,ma,000,0042,0000150,222,153,0,82,55,16,69,7327,1679,133,647,326,573,5648,448,266,59,76,107,24,182
ACSSF,2011e5,ma,000,0042,0000151,0,0,0,0,0,0,0,905,215,57,58,32,68,690,6,5,0,0,5,0,1
ACSSF,2011e5,ma,000,0042,0000152,8,0,0,0,0,0,8,2890,641,63,363,110,105,2249,76,0,0,0,0,0,76
ACSSF,2011e5,ma,000,0042,0000153,48,48,0,19,29,0,0,7208,1603,147,826,358,272,5605,216,133,20,90,0,23,83
ACSSF,2011e5,ma,000,0042,0000154,16,5,0,0,0,5,11,358,49,10,18,6,15,309,12,9,2,2,0,5,3
ACSSF,2011e5,ma,000,0042,0000155,19,6,3,3,0,0,13,1877,409,26,141,143,99,1468,7,0,0,0,0,0,7
ACSSF,2011e5,ma,000,0042,0000156,121,38,10,28,0,0,83,1586,357,41,166,53,97,1229,44,24,0,13,4,7,20
ACSSF,2011e5,ma,000,0042,0000157,65,19,0,0,19,0,46,3118,1099,13,259,103,724,2019,148,107,0,0,47,60,41
ACSSF,2011e5,ma,000,0042,0000158,8,8,3,5,0,0,0,572,124,8,31,52,33,448,5,1,0,0,0,1,4
